Rank,Track Name,Artist,Album,Popularity
1,اخدني معك,فضل شاكر,حبك علمني,47
2,BEVERLY HILLS,Doechii,Alligator Bites Never Heal,53
3,Wildflowers,Nao,Wildflowers,52
4,BOOM BAP,Doechii,Alligator Bites Never Heal,56
5,Looks Good With Trouble,Solange,True,43
6,BOILED PEANUTS,Doechii,Alligator Bites Never Heal,57
7,STANKA POOH,Doechii,Alligator Bites Never Heal,56
8,ice (feat. BAMBII),Ragz Originale,BARE SUGAR: SWEET NOTHINGS,47
9,SLIDE,Doechii,Alligator Bites Never Heal,57
10,Time Will Tell,Blood Orange,Cupid Deluxe,42
